Year,Stats,Roster,Team Pages,Field Manager,Bench Coach,Hitting Coach,Pitching Coach,First Base Coach,Third Base Coach,Bullpen Coach
2021,Stats,Roster,Franchise Page,Aaron Boone,Carlos Mendoza,"P.J. Pilittere, Marcus Thames",Matt Blake,Reggie Willits,Phil Nevin,Mike Harkey
2020,Stats,Roster,Franchise Page,Aaron Boone,Carlos Mendoza,"P.J. Pilittere, Marcus Thames",Matt Blake,Reggie Willits,Phil Nevin,Mike Harkey
2019,Stats,Roster,Franchise Page,Aaron Boone,Josh Bard,"P.J. Pilittere, Marcus Thames",Larry Rothschild,Reggie Willits,Phil Nevin,Mike Harkey
2018,Stats,Roster,Franchise Page,Aaron Boone,Josh Bard,"P.J. Pilittere, Marcus Thames",Larry Rothschild,Reggie Willits,Phil Nevin,Mike Harkey
2017,Stats,Roster,Franchise Page,Joe Girardi,Rob Thomson,"Alan Cockrell, Marcus Thames",Larry Rothschild,Tony Pena,Joe Espada,Mike Harkey
2016,Stats,Roster,Franchise Page,Joe Girardi,Rob Thomson,"Alan Cockrell, Marcus Thames",Larry Rothschild,Tony Pena,Joe Espada,Mike Harkey
2015,Stats,Roster,Franchise Page,Joe Girardi,Rob Thomson,"Alan Cockrell, Jeff Pentland",Larry Rothschild,Tony Pena,Joe Espada,Gary Tuck
2014,Stats,Roster,Franchise Page,Joe Girardi,Tony Pena,Kevin Long,Larry Rothschild,Mick Kelleher,Rob Thomson,Gary Tuck
2013,Stats,Roster,Franchise Page,Joe Girardi,Tony Pena,Kevin Long,Larry Rothschild,---,Rob Thomson,Mike Harkey
2012,Stats,Roster,Franchise Page,Joe Girardi,Tony Pena,Kevin Long,Larry Rothschild,Mick Kelleher,Rob Thomson,Mike Harkey
2011,Stats,Roster,Franchise Page,Joe Girardi,Tony Pena,Kevin Long,Larry Rothschild,Mick Kelleher,Rob Thomson,Mike Harkey
2010,Stats,Roster,Franchise Page,Joe Girardi,Tony Pena,Kevin Long,Dave Eiland,Mick Kelleher,Rob Thomson,Mike Harkey
2009,Stats,Roster,Franchise Page,Joe Girardi,Tony Pena,Kevin Long,Dave Eiland,Mick Kelleher,Rob Thomson,Mike Harkey
2008,Stats,Roster,Franchise Page,Joe Girardi,Rob Thomson,Kevin Long,"Dave Eiland, Tommy Phelps",Tony Pena,Bob Meacham,Mike Harkey
2007,Stats,Roster,Franchise Page,Joe Torre,Don Mattingly,Kevin Long,Ron Guidry,Tony Pena,Larry Bowa,Joe Kerrigan
2006,Stats,Roster,Franchise Page,Joe Torre,Lee Mazzilli,Don Mattingly,Ron Guidry,Tony Pena,Larry Bowa,Joe Kerrigan
2005,Stats,Roster,Franchise Page,Joe Torre,Joe Girardi,Don Mattingly,Mel Stottlemyre,Roy White,Luis Sojo,Neil Allen
2004,Stats,Roster,Franchise Page,Joe Torre,Willie Randolph,Don Mattingly,Mel Stottlemyre,Roy White,Luis Sojo,Rich Monteleone
2003,Stats,Roster,Franchise Page,Joe Torre,Don Zimmer,Rick Down,Mel Stottlemyre,Lee Mazzilli,Willie Randolph,Rich Monteleone
2002,Stats,Roster,Franchise Page,Joe Torre,Don Zimmer,Rick Down,Mel Stottlemyre,Lee Mazzilli,Willie Randolph,Rich Monteleone
Year,Stats,Roster,Team Pages,Field Manager,Bench Coach,Hitting Coach,Pitching Coach,First Base Coach,Third Base Coach,Bullpen Coach
2001,Stats,Roster,Franchise Page,Joe Torre,Don Zimmer,Gary Denbo,Mel Stottlemyre,Lee Mazzilli,Willie Randolph,Tony Cloninger
2000,Stats,Roster,Franchise Page,Joe Torre,Don Zimmer,Chris Chambliss,Mel Stottlemyre,Lee Mazzilli,Willie Randolph,Tony Cloninger
1999,Stats,Roster,Franchise Page,Joe Torre,Don Zimmer,Chris Chambliss,Mel Stottlemyre,Jose Cardenal,Willie Randolph,Tony Cloninger
1998,Stats,Roster,Franchise Page,Joe Torre,Don Zimmer,Chris Chambliss,Mel Stottlemyre,Jose Cardenal,Willie Randolph,Tony Cloninger
1997,Stats,Roster,Franchise Page,Joe Torre,Don Zimmer,Chris Chambliss,Mel Stottlemyre,Jose Cardenal,Willie Randolph,Tony Cloninger
1996,Stats,Roster,Franchise Page,Joe Torre,Don Zimmer,Chris Chambliss,Mel Stottlemyre,Jose Cardenal,Willie Randolph,Tony Cloninger
1995,Stats,Roster,Franchise Page,Buck Showalter,---,Rick Down,Tony Cloninger,Brian Butterfield,Willie Randolph,"Bill Connors, Nardi Contreras"
1994,Stats,Roster,Franchise Page,Buck Showalter,Clete Boyer,Rick Down,Tony Cloninger,Brian Butterfield,Willie Randolph,Bill Connors
1993,Stats,Roster,Franchise Page,Buck Showalter,---,Rick Down,Tony Cloninger,Ed Napoleon,Clete Boyer,Mark Connor
1992,Stats,Roster,Franchise Page,Buck Showalter,Russ Meyer,Frank Howard,Mark Connor,Ed Napoleon,Clete Boyer,Tony Cloninger
1991,Stats,Roster,Franchise Page,Stump Merrill,Mike Ferraro,Frank Howard,Mark Connor,Graig Nettles,Buck Showalter,Marc Hill
1990,Stats,Roster,Franchise Page,"Bucky Dent, Stump Merrill",---,Darrell Evans,Bill Connors,Mike Ferraro,"Buck Showalter , Joe Sparks","Mark Connor, Gary Tuck"
1989,Stats,Roster,Franchise Page,"Bucky Dent, Dallas Green",Charlie Fox,"Frank Howard, Champ Summers",Bill Connors,"Pat Corrales, Mike Ferraro","Lee Elia , Gene Michael",John Stearns
1988,Stats,Roster,Franchise Page,"Billy Martin, Lou Piniella",George Mitterwald,Chris Chambliss,"Clyde King, Stan Williams",Mike Ferraro,"Clete Boyer , Gene Michael",Jeff Torborg
1987,Stats,Roster,Franchise Page,Lou Piniella,---,Jay Ward,Mark Connor,Stump Merrill,Mike Ferraro,Jeff Torborg
1986,Stats,Roster,Franchise Page,Lou Piniella,Gene Michael,Willie Horton,"Mark Connor, Bill Monbouquette",Joe Altobelli,Don Zimmer,Jeff Torborg
1985,Stats,Roster,Franchise Page,"Yogi Berra, Billy Martin",---,Lou Piniella,"Mark Connor, Bill Monbouquette",Stump Merrill,Gene Michael,"Dom Scala, Dom Scala, Jeff Torborg"
1984,Stats,Roster,Franchise Page,Yogi Berra,---,Lou Piniella,"Mark Connor, Bill Monbouquette",Roy White,Gene Michael,"Jerry McNertney, Dom Scala, Jeff Torborg"
1983,Stats,Roster,Franchise Page,Billy Martin,Yogi Berra,Lee Walls,Art Fowler,Roy White,Don Zimmer,"Dom Scala, Jeff Torborg"
1982,Stats,Roster,Franchise Page,"Clyde King, Bob Lemon, Gene Michael",Joe Altobelli,Mickey Vernon,Stan Williams,Yogi Berra,Mike Ferraro,"Dom Scala, Jeff Torborg"
1981,Stats,Roster,Franchise Page,"Bob Lemon, Gene Michael",Joe Altobelli,Charlie Lau,Stan Williams,Yogi Berra,Mike Ferraro,"Dom Scala, Jeff Torborg"
1980,Stats,Roster,Franchise Page,Dick Howser,Yogi Berra,Charlie Lau,Stan Williams,Jeff Torborg,Mike Ferraro,"Jim Hegan, Dom Scala"
1979,Stats,Roster,Franchise Page,"Bob Lemon, Billy Martin",Yogi Berra,Charlie Lau,Art Fowler,Jeff Torborg,Mike Ferraro,"Dom Scala, Jeff Torborg"
1978,Stats,Roster,Franchise Page,"Dick Howser, Bob Lemon, Billy Martin",Gene Michael,---,Art Fowler,Elston Howard,Dick Howser,"Yogi Berra, Dom Scala"
1977,Stats,Roster,Franchise Page,Billy Martin,Elston Howard,---,Cloyd Boyer,Bobby Cox,Dick Howser,Yogi Berra
1976,Stats,Roster,Franchise Page,Billy Martin,Gene Michael,---,Bob Lemon,Elston Howard,Dick Howser,Yogi Berra
1975,Stats,Roster,Franchise Page,"Billy Martin, Bill Virdon",---,---,Whitey Ford,Elston Howard,Dick Howser,Mel Wright
1974,Stats,Roster,Franchise Page,Bill Virdon,---,---,Whitey Ford,Elston Howard,Dick Howser,Mel Wright
1973,Stats,Roster,Franchise Page,Ralph Houk,---,---,Jim Turner,Elston Howard,Dick Howser,Jim Hegan
1972,Stats,Roster,Franchise Page,Ralph Houk,---,---,Jim Turner,Elston Howard,Dick Howser,Jim Hegan
1971,Stats,Roster,Franchise Page,Ralph Houk,---,---,Jim Turner,Elston Howard,Dick Howser,Jim Hegan
1970,Stats,Roster,Franchise Page,Ralph Houk,---,Mickey Mantle,Jim Turner,Elston Howard,Dick Howser,Jim Hegan
1969,Stats,Roster,Franchise Page,Ralph Houk,---,Mickey Mantle,Jim Turner,Elston Howard,Dick Howser,Jim Hegan
1968,Stats,Roster,Franchise Page,Ralph Houk,---,---,Jim Turner,---,Frankie Crosetti,Jim Hegan
1967,Stats,Roster,Franchise Page,Ralph Houk,---,---,Jim Turner,Loren Babe,Frankie Crosetti,Jim Hegan
1966,Stats,Roster,Franchise Page,"Ralph Houk, Johnny Keane",---,Wally Moses,Jim Turner,Vern Benson,Frankie Crosetti,Jim Hegan
1965,Stats,Roster,Franchise Page,Johnny Keane,---,---,Cot Deal,Vern Benson,Frankie Crosetti,Jim Hegan
1964,Stats,Roster,Franchise Page,Yogi Berra,---,---,Whitey Ford,Jim Gleeson,Frankie Crosetti,Jim Hegan
1963,Stats,Roster,Franchise Page,Ralph Houk,---,Wally Moses,Johnny Sain,Yogi Berra,Frankie Crosetti,Jim Hegan
1962,Stats,Roster,Franchise Page,Ralph Houk,---,Wally Moses,Johnny Sain,---,Frankie Crosetti,Jim Hegan
1961,Stats,Roster,Franchise Page,Ralph Houk,---,Wally Moses,Johnny Sain,---,Frankie Crosetti,Jim Hegan
1960,Stats,Roster,Franchise Page,Casey Stengel,---,---,---,---,Frankie Crosetti,Jim Hegan
1959,Stats,Roster,Franchise Page,Casey Stengel,---,---,---,---,Frankie Crosetti,---
1958,Stats,Roster,Franchise Page,Casey Stengel,---,---,---,---,Frankie Crosetti,---
1957,Stats,Roster,Franchise Page,Casey Stengel,---,---,---,Charlie Keller,Frankie Crosetti,---
1956,Stats,Roster,Franchise Page,Casey Stengel,---,---,---,---,Frankie Crosetti,---
1955,Stats,Roster,Franchise Page,Casey Stengel,---,---,---,---,Frankie Crosetti,---
1954,Stats,Roster,Franchise Page,Casey Stengel,---,---,---,---,Frankie Crosetti,---
1953,Stats,Roster,Franchise Page,Casey Stengel,---,---,---,---,Frankie Crosetti,---
1952,Stats,Roster,Franchise Page,Casey Stengel,---,---,---,---,Frankie Crosetti,---
1951,Stats,Roster,Franchise Page,Casey Stengel,---,---,---,---,Frankie Crosetti,---
1950,Stats,Roster,Franchise Page,Casey Stengel,---,---,---,---,Frankie Crosetti,---
1949,Stats,Roster,Franchise Page,Casey Stengel,---,---,---,---,Frankie Crosetti,---
1948,Stats,Roster,Franchise Page,Bucky Harris,---,---,---,---,Frankie Crosetti,---
1947,Stats,Roster,Franchise Page,Bucky Harris,---,---,---,---,Frankie Crosetti,---
1946,Stats,Roster,Franchise Page,"Bill Dickey, Joe McCarthy, Johnny Neun",---,---,---,---,Frankie Crosetti,---
1945,Stats,Roster,Franchise Page,Joe McCarthy,---,---,---,---,---,---
1944,Stats,Roster,Franchise Page,Joe McCarthy,---,---,---,---,---,---
1943,Stats,Roster,Franchise Page,Joe McCarthy,---,---,---,---,---,---
1942,Stats,Roster,Franchise Page,Joe McCarthy,---,---,---,---,---,---
1941,Stats,Roster,Franchise Page,Joe McCarthy,---,---,---,---,---,---
1940,Stats,Roster,Franchise Page,Joe McCarthy,---,---,---,---,---,---
1939,Stats,Roster,Franchise Page,Joe McCarthy,---,---,---,---,---,---
1938,Stats,Roster,Franchise Page,Joe McCarthy,---,---,---,---,---,---
1937,Stats,Roster,Franchise Page,Joe McCarthy,---,---,---,---,---,---
1936,Stats,Roster,Franchise Page,Joe McCarthy,---,---,---,---,---,---
1935,Stats,Roster,Franchise Page,Joe McCarthy,---,---,---,---,---,---
1934,Stats,Roster,Franchise Page,Joe McCarthy,---,---,---,---,---,---
1933,Stats,Roster,Franchise Page,Joe McCarthy,---,---,---,---,---,---
1932,Stats,Roster,Franchise Page,Joe McCarthy,---,---,---,---,---,---
1931,Stats,Roster,Franchise Page,Joe McCarthy,---,---,---,---,---,---
1930,Stats,Roster,Franchise Page,Bob Shawkey,---,---,---,---,---,---
1929,Stats,Roster,Franchise Page,"Art Fletcher, Miller Huggins",---,---,---,---,---,---
1928,Stats,Roster,Franchise Page,Miller Huggins,---,---,---,---,---,---
1927,Stats,Roster,Franchise Page,Miller Huggins,---,---,---,---,---,---
1926,Stats,Roster,Franchise Page,Miller Huggins,---,---,---,---,---,---
1925,Stats,Roster,Franchise Page,Miller Huggins,---,---,---,---,---,---
1924,Stats,Roster,Franchise Page,Miller Huggins,---,---,---,---,---,---
1923,Stats,Roster,Franchise Page,Miller Huggins,---,---,---,---,---,---
1922,Stats,Roster,Franchise Page,Miller Huggins,---,---,---,---,---,---
1921,Stats,Roster,Franchise Page,Miller Huggins,---,---,---,---,---,---
1920,Stats,Roster,Franchise Page,Miller Huggins,---,---,---,---,---,---
1919,Stats,Roster,Franchise Page,Miller Huggins,---,---,---,---,---,---
1918,Stats,Roster,Franchise Page,Miller Huggins,---,---,---,---,---,---
1917,Stats,Roster,Franchise Page,Bill Donovan,---,---,---,---,---,---
1916,Stats,Roster,Franchise Page,Bill Donovan,---,---,---,---,---,---
1915,Stats,Roster,Franchise Page,Bill Donovan,---,---,---,---,---,---
1914,Stats,Roster,Franchise Page,"Frank Chance, Roger Peckinpaugh",---,---,---,---,---,---
1913,Stats,Roster,Franchise Page,Frank Chance,---,---,---,---,---,---
1912,Stats,Roster,Franchise Page,Harry Wolverton,---,---,---,---,---,---
1911,Stats,Roster,Franchise Page,Hal Chase,---,---,---,---,---,---
1910,Stats,Roster,Franchise Page,"Hal Chase, George Stallings",---,---,---,---,---,---
1909,Stats,Roster,Franchise Page,George Stallings,---,---,---,---,---,---
1908,Stats,Roster,Franchise Page,"Kid Elberfeld, Clark Griffith",---,---,---,---,---,---
1907,Stats,Roster,Franchise Page,Clark Griffith,---,---,---,---,---,---
1906,Stats,Roster,Franchise Page,Clark Griffith,---,---,---,---,---,---
1905,Stats,Roster,Franchise Page,Clark Griffith,---,---,---,---,---,---
1904,Stats,Roster,Franchise Page,Clark Griffith,---,---,---,---,---,---
1903,Stats,Roster,Franchise Page,Clark Griffith,---,---,---,---,---,---
1902,Stats,Roster,Franchise Page,---,---,---,---,---,---,---
1901,Stats,Roster,Franchise Page,---,---,---,---,---,---,---